dbcc8c38-d606-483d-9145-eaacea68e19e 200 ::1 GET /oldCall-logs 32.930 [Tue, 19 Oct 2021 12:07:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
0697d490-7ca0-479c-aa74-d93698ba65d6 200 ::1 POST /oldCall-logs 5778.173 [Tue, 19 Oct 2021 12:08:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
25ea8815-6076-4d7b-9c3f-06fb33c0b861 200 ::1 GET /oldCall-logs 7.940 [Tue, 19 Oct 2021 12:15:08 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
50477f70-412d-4287-902a-db78da09d5d7 200 ::1 GET /oldCall-logs 35.623 [Tue, 19 Oct 2021 12:15:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
4643f360-5016-4ed0-a824-3af75af0d2a2 200 ::1 POST /oldCall-logs 5679.893 [Tue, 19 Oct 2021 12:15:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
d83785b4-b0ea-4648-825b-d5fcc26e1eeb 200 ::1 GET /call-logs 183.793 [Tue, 19 Oct 2021 15:20:06 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
c405223b-60a6-4c2d-a209-b9ba8bfdd653 304 ::1 GET /call-logs 50.251 [Tue, 19 Oct 2021 15:20:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
91b1a59c-7420-4930-97a6-c4445737ba1d 200 ::1 POST /call-logs 1307.297 [Tue, 19 Oct 2021 15:23:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
b477b982-385e-4cf6-b41d-9be30d5ff437 200 ::1 POST /call-logs 179.585 [Tue, 19 Oct 2021 15:24:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
75fe2ef6-def8-4d82-a257-7add8e950f3a 200 ::1 POST /call-logs 155.255 [Tue, 19 Oct 2021 15:37:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7608fde7-6fad-4541-a50b-929b089db85c 200 ::1 POST /call-logs 157.783 [Tue, 19 Oct 2021 15:38:20 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a2cdabec-7f50-4c60-ad23-35aa7a5adfb7 200 ::1 GET /call-logs 34.912 [Tue, 19 Oct 2021 15:38:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
2c12c806-bb41-432d-9640-86ee16527f29 200 ::1 GET /oldCall-logs 40.945 [Tue, 19 Oct 2021 15:38:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
29d1ee7d-3904-4027-9a07-415162541443 200 ::1 POST /oldCall-logs 37968.920 [Tue, 19 Oct 2021 15:41:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
0bd4fe44-a501-4307-81f3-62d80d8e6beb 200 ::1 GET / 233.157 [Thu, 21 Oct 2021 13:47:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
43926502-34c1-436a-85dc-5203d894f596 302 ::1 POST /login 271.923 [Thu, 21 Oct 2021 13:47:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
031535ef-1071-4a7a-906d-b3f406afc338 200 ::1 GET /call-logs 20.124 [Thu, 21 Oct 2021 13:47:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
abd99822-1516-4ebe-8cd3-a8ca4886ec85 200 ::1 GET /call-logs 102.126 [Thu, 21 Oct 2021 13:54:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
2c8bd933-eac9-481c-a85f-329736c1a52d 200 ::1 GET / 72.744 [Thu, 21 Oct 2021 14:02:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a5d7a245-bd85-46d6-b27f-7c2b4117cf96 302 ::1 POST /login 265.173 [Thu, 21 Oct 2021 14:02:48 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
32f37d34-9169-4cf5-b35d-25415e735067 304 ::1 GET /call-logs 25.494 [Thu, 21 Oct 2021 14:02:48 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
aed2fdce-df2d-40bf-a0a4-3871191d05ee 200 ::1 GET /call-logs 84.222 [Thu, 21 Oct 2021 14:04:47 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
645ad867-ceee-43d3-8053-3b33749c35a2 304 ::1 GET /call-logs 43.419 [Thu, 21 Oct 2021 14:07:18 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
4ae1648a-7c1a-4175-9b84-4e7100b242b0 304 ::ffff:127.0.0.1 GET /call-logs 63.760 [Thu, 21 Oct 2021 14:07:21 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
13b6dc73-4af1-4fd6-986b-54def711573b 200 ::1 GET /call-logs 100.106 [Thu, 21 Oct 2021 14:10:01 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
6ff5be02-a0b7-45d7-b609-a509b2a159b0 304 ::1 GET /call-logs 36.867 [Thu, 21 Oct 2021 14:10:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
